id,date,text,clean_text,label,confidence,char_len,word_len
5.4e+17,Mon Dec 01 19:30:03 +0000 2014,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx,aapl best steve job email ever,neutral,0.6264,65,6
5.4e+17,Mon Dec 01 19:43:51 +0000 2014,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9",aapl stock mini flash crash today aapl aapl,neutral,0.8129,94,8
5.4e+17,Mon Dec 01 19:50:28 +0000 2014,My cat only chews @apple cords. Such an #AppleSnob.,cat chew cord applesnob,neutral,1.0,51,4
5.4e+17,Mon Dec 01 20:26:34 +0000 2014,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see",agree individualinvestor not trade apple aapl extended today pullback good see,neutral,0.5848,136,11
5.4e+17,Mon Dec 01 20:29:33 +0000 2014,Nobody expects the Spanish Inquisition #AAPL,nobody expects spanish inquisition aapl,neutral,0.6474,44,5
5.4e+17,Mon Dec 01 20:30:03 +0000 2014,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS,aapl rocket stock buy december gain apple,neutral,0.5975,88,7
5.4e+17,Mon Dec 01 20:32:45 +0000 2014,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB,top tablet damn right,positive,0.8468,61,4
5.4e+17,Mon Dec 01 20:34:31 +0000 2014,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK,cnbctv apple margin better expected aapl,positive,0.6736,75,6
5.4e+17,Mon Dec 01 20:36:47 +0000 2014,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL,apple inc flash crash need know aapl,neutral,0.7997,74,7
5.4e+17,Mon Dec 01 20:45:03 +0000 2014,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd,aapl presentation show make world biggest tech company,neutral,0.636,101,8
5.4e+17,Mon Dec 01 20:46:01 +0000 2014,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,wtf battery one second ago wtf,negative,1.0,71,6
5.4e+17,Mon Dec 01 20:47:12 +0000 2014,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch,apple watch top search engine list best wearable tech aapl iwatch applewatch,neutral,0.6658,106,12
5.4e+17,Mon Dec 01 21:00:15 +0000 2014,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz",best designed iphone apps world according,neutral,0.8381,112,6
5.4e+17,Mon Dec 01 21:03:32 +0000 2014,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3,bought store pretty good logo match cant wait install,positive,1.0,136,9
5.4e+17,Mon Dec 01 21:09:50 +0000 2014,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,contact sync yosemite io seriously screwed used much stable past icloud isync,negative,1.0,129,12
5.4e+17,Mon Dec 01 21:29:45 +0000 2014,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,aapl thanks non factual dumb twitter follower stock drop point one minute thanks dummy rumor,neutral,0.4798,124,15
5.4e+17,Mon Dec 01 21:35:14 +0000 2014,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,warning buy iphone unlocked iphone cannot use verizon network,negative,0.9399,96,9
5.4e+17,Mon Dec 01 21:53:12 +0000 2014,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?,thanks xtra checkin upper westside store appointment running almost minute late,neutral,0.6621,113,11
5.4e+17,Mon Dec 01 22:22:09 +0000 2014,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,aapl stock mini flash crash today money morning nothing analyst suggested would make widel,neutral,1.0,136,14
5.4e+17,Mon Dec 01 23:12:40 +0000 2014,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH,hines staff newly issued connected macbook ipad mini txed,neutral,0.7244,111,9
5.4e+17,Mon Dec 01 23:43:14 +0000 2014,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,need portfolio defend against big company look court battle,neutral,0.6552,116,9
5.4e+17,Mon Dec 01 23:55:55 +0000 2014,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc",love gawd center damn calendar app fixed back center,negative,1.0,140,9
5.4e+17,Tue Dec 02 00:06:05 +0000 2014,i get the storage almost full notification literally every 5 minutes chill @apple,get storage almost full notification literally every minute chill,negative,0.8928,81,9
5.4e+17,Tue Dec 02 00:14:25 +0000 2014,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n,made switch iphone galaxy note edge keep,negative,0.8558,105,7
5.4e+17,Tue Dec 02 00:15:11 +0000 2014,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,cant stand ppl sticker everywhere prob bought ipod shuffle,negative,0.8701,121,9
5.4e+17,Tue Dec 02 00:15:14 +0000 2014,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.7244,105,9
5.4e+17,Tue Dec 02 00:15:16 +0000 2014,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads,latest apple product leading efficiency iphone ipad plugloads,positive,0.5724,98,8
5.4e+17,Tue Dec 02 00:15:26 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:16:03 +0000 2014,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz,good huge justice department cite century federal law get unlock iphones,neutral,0.7179,130,11
5.4e+17,Tue Dec 02 00:16:04 +0000 2014,@thehill @Apple i cite the 4th amendment as a retort,cite amendment retort,neutral,1.0,52,3
5.4e+17,Tue Dec 02 00:16:27 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.6604,118,9
5.4e+17,Tue Dec 02 00:17:02 +0000 2014,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.,thanks thinking upgrading,positive,1.0,63,3
5.4e+17,Tue Dec 02 00:18:59 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.6515,118,9
5.4e+17,Tue Dec 02 00:22:26 +0000 2014,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1,way stay relevant justice department cite century federal law get unlock iphones,neutral,1.0,139,12
5.4e+17,Tue Dec 02 00:22:31 +0000 2014,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL,apple inc flash crash need know aapl,neutral,1.0,74,7
5.4e+17,Tue Dec 02 00:23:47 +0000 2014,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc",need help using apple iphone iphone plus checkitout,neutral,1.0,135,8
5.4e+17,Tue Dec 02 00:24:26 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:24:47 +0000 2014,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,flash crash really screwed lot trader today not determined ever make trading work aapl,negative,0.4673,131,14
5.4e+17,Tue Dec 02 00:25:38 +0000 2014,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed,hines staff newly issued connected macbook ipad mini txed txed,neutral,1.0,131,10
5.4e+17,Tue Dec 02 00:27:23 +0000 2014,Nigga update yall headphones @Apple,nigga update yall headphone,negative,0.7453,35,4
5.4e+17,Tue Dec 02 00:27:36 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:28:38 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,negative,0.665,118,9
5.4e+17,Tue Dec 02 00:29:58 +0000 2014,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",win wont use browser anymore since keep closing literally time today counted,negative,1.0,119,12
5.4e+17,Tue Dec 02 00:31:26 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:32:42 +0000 2014,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers,cite constitution judge cannot pas law violation separation power,negative,0.501,111,9
5.4e+17,Tue Dec 02 00:34:51 +0000 2014,@apple U need to get ur fucking shit together and let me txt while on YouTube,need get fucking shit together let txt youtube,negative,1.0,77,8
5.4e+17,Tue Dec 02 00:38:41 +0000 2014,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,wish could prosecute admin violation privacy criminal search seizure,negative,0.6672,106,9
5.4e+17,Tue Dec 02 00:39:47 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:39:51 +0000 2014,@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.,furthermore provision secrecy constitution activity sedition gov,neutral,0.6868,135,7
5.4e+17,Tue Dec 02 00:45:03 +0000 2014,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb,aapl here apple dropped,negative,0.6656,55,4
5.4e+17,Tue Dec 02 00:45:22 +0000 2014,This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn,one chart explains affect paint interesting story think,neutral,0.7408,124,8
5.4e+17,Tue Dec 02 00:47:23 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:47:46 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:51:10 +0000 2014,"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ",final aapl putcallratios monday december,neutral,0.732,78,5
5.4e+17,Tue Dec 02 00:53:22 +0000 2014,#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd,aapl launch red apple logo world aid day dec world aid day red apple logo abl,neutral,0.7177,136,16
5.4e+17,Tue Dec 02 00:53:58 +0000 2014,hey @apple fuck you,hey fuck,negative,1.0,19,2
5.4e+17,Tue Dec 02 00:54:31 +0000 2014,5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL,company growing faster apple inc aapl,neutral,0.6788,71,6
5.4e+17,Tue Dec 02 00:56:11 +0000 2014,@apple why doesn't your people explain precautions when buying an expensive laptop,doesnt people explain precaution buying expensive laptop,negative,1.0,82,7
5.4e+17,Tue Dec 02 00:56:43 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,1.0,118,9
5.4e+17,Tue Dec 02 00:59:49 +0000 2014,@Quailman_ @Apple u was bored huh,bored huh,neutral,0.6731,33,2
5.4e+17,Tue Dec 02 01:04:41 +0000 2014,RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,need portfolio defend against big company look court battle,neutral,1.0,132,9
5.4e+17,Tue Dec 02 01:05:37 +0000 2014,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple",die hard customer must say truly displeased customer service given today badservice apple,negative,1.0,127,13
5.4e+17,Tue Dec 02 01:06:42 +0000 2014,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it,made clear today customer not worth measly employee gave mi info not stand behind,negative,1.0,136,14
5.4e+17,Tue Dec 02 01:06:58 +0000 2014,INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED,inspi red worldaidsday appsforred fight aid get,neutral,0.7011,139,7
5.4e+17,Tue Dec 02 01:07:53 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.7321,118,9
5.4e+17,Tue Dec 02 01:09:53 +0000 2014,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems,ipad air retina wifi tablet free shipping via ebay cybermonday firstworldproblems,neutral,1.0,129,11
5.4e+17,Tue Dec 02 01:11:43 +0000 2014,Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV,photo love io love io nocrop iphone young phone screen capturescream boy,positive,0.8214,128,12
